货物全称,一级分类,二级分类,三级分类
钢筋3钢银99368,钢铁,钢 材、合金钢材,线材
钢筋3钢银99369,钢铁,钢 材、合金钢材,线材
钢筋3钢银99370,钢铁,钢 材、合金钢材,线材
钢筋3钢银99371,钢铁,钢 材、合金钢材,线材
钢筋3钢银99372,钢铁,钢 材、合金钢材,线材
钢筋金亿99362,钢铁,钢 材、合金钢材,线材
钢筋金亿99363,钢铁,钢 材、合金钢材,线材
钢筋金亿99364,钢铁,钢 材、合金钢材,线材
钢筋金亿99365,钢铁,钢 材、合金钢材,线材
钢筋金亿99366,钢铁,钢 材、合金钢材,线材
钢筋金亿99373,钢铁,钢 材、合金钢材,线材
钢筋金亿99374,钢铁,钢 材、合金钢材,线材
钢筋金亿99375,钢铁,钢 材、合金钢材,线材
钢筋金亿99376,钢铁,钢 材、合金钢材,线材
钢筋恒利99390,钢铁,钢 材、合金钢材,线材
钢筋恒利99391,钢铁,钢 材、合金钢材,线材
钢筋恒利99392,钢铁,钢 材、合金钢材,线材
钢筋恒利99393,钢铁,钢 材、合金钢材,线材
钢筋恒利99394,钢铁,钢 材、合金钢材,线材
钢筋恒利99395,钢铁,钢 材、合金钢材,线材
钢筋恒利99396,钢铁,钢 材、合金钢材,线材
橘子,农、林、牧、渔业产品,蔬菜、瓜果及籽实籽仁,瓜果
钢筋泓海92710,钢铁,钢 材、合金钢材,线材
钢筋金亿92711,钢铁,钢 材、合金钢材,线材
物料(,待定,,
钢筋立恒41,钢铁,钢 材、合金钢材,线材
钢筋立恒42,钢铁,钢 材、合金钢材,线材
钢筋立恒43,钢铁,钢 材、合金钢材,线材
钢筋立恒44,钢铁,钢 材、合金钢材,线材
钢筋立恒45,钢铁,钢 材、合金钢材,线材
钢筋立恒46,钢铁,钢 材、合金钢材,线材
钢筋立恒47,钢铁,钢 材、合金钢材,线材
钢筋立恒48,钢铁,钢 材、合金钢材,线材
钢筋立恒49,钢铁,钢 材、合金钢材,线材
钢筋立恒50,钢铁,钢 材、合金钢材,线材
钢筋立恒51,钢铁,钢 材、合金钢材,线材
钢筋立恒52,钢铁,钢 材、合金钢材,线材
钢筋立恒53,钢铁,钢 材、合金钢材,线材
钢筋立恒54,钢铁,钢 材、合金钢材,线材
钢筋立恒55,钢铁,钢 材、合金钢材,线材
钢筋立恒56,钢铁,钢 材、合金钢材,线材
钢筋立恒57,钢铁,钢 材、合金钢材,线材
钢筋立恒58,钢铁,钢 材、合金钢材,线材
钢筋立恒59,钢铁,钢 材、合金钢材,线材
钢筋立恒60,钢铁,钢 材、合金钢材,线材
钢筋立恒61,钢铁,钢 材、合金钢材,线材
钢筋立恒62,钢铁,钢 材、合金钢材,线材
钢筋立恒63,钢铁,钢 材、合金钢材,线材
钢筋立恒64,钢铁,钢 材、合金钢材,线材
钢筋恒利91054,钢铁,钢 材、合金钢材,线材
钢筋3钢银91053,钢铁,钢 材、合金钢材,线材
钢筋鑫润91055,钢铁,钢 材、合金钢材,线材
钢筋鑫润91056,钢铁,钢 材、合金钢材,线材
钢筋金亿104569,钢铁,钢 材、合金钢材,线材
冻品,待定,,
钢筋泓海91057,钢铁,钢 材、合金钢材,线材
钢筋6钢银99379,钢铁,钢 材、合金钢材,线材
钢筋3钢银91059,钢铁,钢 材、合金钢材,线材
钢筋金亿91058,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91060,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91061,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91062,钢铁,钢 材、合金钢材,线材
钢筋恒利91063,钢铁,钢 材、合金钢材,线材
钢筋立恒65,钢铁,钢 材、合金钢材,线材
钢筋立恒66,钢铁,钢 材、合金钢材,线材
钢筋立恒67,钢铁,钢 材、合金钢材,线材
钢筋立恒68,钢铁,钢 材、合金钢材,线材
钢筋6钢银91064,钢铁,钢 材、合金钢材,线材
钢筋6钢银91065,钢铁,钢 材、合金钢材,线材
钢筋6钢银91066,钢铁,钢 材、合金钢材,线材
钢筋6钢银91067,钢铁,钢 材、合金钢材,线材
钢筋6钢银91068,钢铁,钢 材、合金钢材,线材
钢筋6钢银91069,钢铁,钢 材、合金钢材,线材
钢筋6钢银91070,钢铁,钢 材、合金钢材,线材
钢筋6钢银91071,钢铁,钢 材、合金钢材,线材
钢筋金亿91072,钢铁,钢 材、合金钢材,线材
钢筋6钢银91074,钢铁,钢 材、合金钢材,线材
钢筋6钢银99377,钢铁,钢 材、合金钢材,线材
钢筋6钢银99378,钢铁,钢 材、合金钢材,线材
平板SP,待定,,
钢筋彭钢91075,钢铁,钢 材、合金钢材,线材
钢筋彭钢91076,钢铁,钢 材、合金钢材,线材
钢筋彭钢91077,钢铁,钢 材、合金钢材,线材
钢筋彭钢91078,钢铁,钢 材、合金钢材,线材
钢筋6钢银91079,钢铁,钢 材、合金钢材,线材
钢筋6钢银91080,钢铁,钢 材、合金钢材,线材
钢筋彭钢91081,钢铁,钢 材、合金钢材,线材
钢筋金亿91082,钢铁,钢 材、合金钢材,线材
钢筋金海91083,钢铁,钢 材、合金钢材,线材
钢筋6钢银91084,钢铁,钢 材、合金钢材,线材
钢筋6钢银91086,钢铁,钢 材、合金钢材,线材
钢筋6钢银91087,钢铁,钢 材、合金钢材,线材
钢筋彭钢91085,钢铁,钢 材、合金钢材,线材
钢筋彭钢91088,钢铁,钢 材、合金钢材,线材
钢筋彭钢91089,钢铁,钢 材、合金钢材,线材
钢筋金海91092,钢铁,钢 材、合金钢材,线材
热卷圆钢,钢铁,钢 材、合金钢材,线材
三分之一焦煤,煤炭及制品,焦炭,\
钢筋彭钢91095,钢铁,钢 材、合金钢材,线材
钢筋彭钢91097,钢铁,钢 材、合金钢材,线材
钢筋彭钢91098,钢铁,钢 材、合金钢材,线材
钢筋彭钢91099,钢铁,钢 材、合金钢材,线材
钢筋彭钢91100,钢铁,钢 材、合金钢材,线材
钢筋彭钢91101,钢铁,钢 材、合金钢材,线材
钢筋彭钢91102,钢铁,钢 材、合金钢材,线材
钢筋彭钢91103,钢铁,钢 材、合金钢材,线材
钢筋金亿91107,钢铁,钢 材、合金钢材,线材
钢筋金亿91108,钢铁,钢 材、合金钢材,线材
钢筋6钢银91109,钢铁,钢 材、合金钢材,线材
钢筋彭钢91096,钢铁,钢 材、合金钢材,线材
钢筋6钢银91104,钢铁,钢 材、合金钢材,线材
钢筋6钢银91105,钢铁,钢 材、合金钢材,线材
钢筋6钢银91110,钢铁,钢 材、合金钢材,线材
钢筋彭钢91116,钢铁,钢 材、合金钢材,线材
钢筋彭钢91112,钢铁,钢 材、合金钢材,线材
钢筋彭钢91113,钢铁,钢 材、合金钢材,线材
钢筋金亿91114,钢铁,钢 材、合金钢材,线材
钢筋金海91115,钢铁,钢 材、合金钢材,线材
钢筋金亿104599,钢铁,钢 材、合金钢材,线材
钢筋彭钢104600,钢铁,钢 材、合金钢材,线材
钢筋金亿嘉89884,钢铁,钢 材、合金钢材,线材
钢筋金亿89884,钢铁,钢 材、合金钢材,线材
家具原料,待定,,
废铝卷,有色金属,铝,铝废碎料
钢筋金狐92708,钢铁,钢 材、合金钢材,线材
钢筋6钢银89885,钢铁,钢 材、合金钢材,线材
钢筋6钢银89886,钢铁,钢 材、合金钢材,线材
钢筋3钢银89887,钢铁,钢 材、合金钢材,线材
铁粉97.6,金属矿石,铁矿石,铁矿
钢筋6钢银89888,钢铁,钢 材、合金钢材,线材
钢筋6钢银89889,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89873,钢铁,钢 材、合金钢材,线材
钢筋金海89872,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89890,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89891,钢铁,钢 材、合金钢材,线材
钢筋金亿89869,钢铁,钢 材、合金钢材,线材
纸壳,轻工、医药产品,纸及制品(十类),纸制品
钢筋6钢银89865,钢铁,钢 材、合金钢材,线材
钢筋6钢银89866,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89867,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89868,钢铁,钢 材、合金钢材,线材
钢筋金亿89870,钢铁,钢 材、合金钢材,线材
80克木浆纯质纸7101010,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
钢筋金海89851,钢铁,钢 材、合金钢材,线材
钢筋金海89858,钢铁,钢 材、合金钢材,线材
钢筋金海89859,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89864,钢铁,钢 材、合金钢材,线材
钢筋金海89852,钢铁,钢 材、合金钢材,线材
钢筋金海89853,钢铁,钢 材、合金钢材,线材
钢筋金海89854,钢铁,钢 材、合金钢材,线材
钢筋金海89855,钢铁,钢 材、合金钢材,线材
钢筋金海89856,钢铁,钢 材、合金钢材,线材
钢筋金海89857,钢铁,钢 材、合金钢材,线材
钢筋6钢银89860,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89861,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89862,钢铁,钢 材、合金钢材,线材
钢筋鑫恒89863,钢铁,钢 材、合金钢材,线材
58克铸涂原纸1186,轻工、医药产品,纸及制品(十类),纸板（原纸）
不锈钢圆钢管坯,钢铁,钢 材、合金钢材,线材
钢筋恒利89850,钢铁,钢 材、合金钢材,线材
钢筋金狐92707,钢铁,钢 材、合金钢材,线材
钢筋金海89849,钢铁,钢 材、合金钢材,线材
78克全木浆胶版纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
钢筋瑞豪59726,钢铁,钢 材、合金钢材,线材
石英沙LYX,非金属矿石,其它未列名非金属矿石,\
钢筋恒利89844,钢铁,钢 材、合金钢材,线材
钢筋金海89845,钢铁,钢 材、合金钢材,线材
废纸LYX,其它货类,各种废旧物品,\
钢筋3钢银89809,钢铁,钢 材、合金钢材,线材
钢筋3钢银89810,钢铁,钢 材、合金钢材,线材
钢筋3钢银89811,钢铁,钢 材、合金钢材,线材
钢筋3钢银89812,钢铁,钢 材、合金钢材,线材
钢筋3钢银89813,钢铁,钢 材、合金钢材,线材
钢筋3钢银89814,钢铁,钢 材、合金钢材,线材
钢筋3钢银89815,钢铁,钢 材、合金钢材,线材
钢筋3钢银89816,钢铁,钢 材、合金钢材,线材
钢筋3钢银89817,钢铁,钢 材、合金钢材,线材
钢筋3钢银89818,钢铁,钢 材、合金钢材,线材
钢筋3钢银89819,钢铁,钢 材、合金钢材,线材
钢筋3钢银89820,钢铁,钢 材、合金钢材,线材
钢筋3钢银89821,钢铁,钢 材、合金钢材,线材
钢筋3钢银89822,钢铁,钢 材、合金钢材,线材
钢筋3钢银89823,钢铁,钢 材、合金钢材,线材
钢筋3钢银89824,钢铁,钢 材、合金钢材,线材
钢筋3钢银89825,钢铁,钢 材、合金钢材,线材
钢筋3钢银89826,钢铁,钢 材、合金钢材,线材
钢筋3钢银89827,钢铁,钢 材、合金钢材,线材
钢筋3钢银89828,钢铁,钢 材、合金钢材,线材
钢筋3钢银89829,钢铁,钢 材、合金钢材,线材
钢筋金亿91117,钢铁,钢 材、合金钢材,线材
钢筋金亿91118,钢铁,钢 材、合金钢材,线材
钢筋金亿91119,钢铁,钢 材、合金钢材,线材
钢筋金亿91120,钢铁,钢 材、合金钢材,线材
钢筋金亿91121,钢铁,钢 材、合金钢材,线材
钢筋金亿91122,钢铁,钢 材、合金钢材,线材
钢筋金亿91123,钢铁,钢 材、合金钢材,线材
钢筋金亿91124,钢铁,钢 材、合金钢材,线材
钢筋金亿91125,钢铁,钢 材、合金钢材,线材
钢筋金亿91134,钢铁,钢 材、合金钢材,线材
钢筋郓城92705,钢铁,钢 材、合金钢材,线材
钢筋郓城92706,钢铁,钢 材、合金钢材,线材
钢筋3钢银89830,钢铁,钢 材、合金钢材,线材
钢筋3钢银89831,钢铁,钢 材、合金钢材,线材
钢筋3钢银89832,钢铁,钢 材、合金钢材,线材
钢筋3钢银89833,钢铁,钢 材、合金钢材,线材
钢筋3钢银89834,钢铁,钢 材、合金钢材,线材
钢筋3钢银89835,钢铁,钢 材、合金钢材,线材
钢筋3钢银89836,钢铁,钢 材、合金钢材,线材
钢筋3钢银89837,钢铁,钢 材、合金钢材,线材
钢筋6钢银99397,钢铁,钢 材、合金钢材,线材
钢筋6钢银99399,钢铁,钢 材、合金钢材,线材
钢筋金亿91136,钢铁,钢 材、合金钢材,线材
钢筋金亿91137,钢铁,钢 材、合金钢材,线材
钢筋6钢银99401,钢铁,钢 材、合金钢材,线材
钢筋6钢银99403,钢铁,钢 材、合金钢材,线材
钢筋6钢银99417,钢铁,钢 材、合金钢材,线材
钢筋3钢银92701,钢铁,钢 材、合金钢材,线材
钢筋3钢银92702,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91135,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91138,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91139,钢铁,钢 材、合金钢材,线材
钢筋金海91140,钢铁,钢 材、合金钢材,线材
钢筋金亿91141,钢铁,钢 材、合金钢材,线材
钢筋金亿91142,钢铁,钢 材、合金钢材,线材
钢筋金亿91144,钢铁,钢 材、合金钢材,线材
钢筋金亿91147,钢铁,钢 材、合金钢材,线材
钢筋金亿91148,钢铁,钢 材、合金钢材,线材
钢筋金亿91149,钢铁,钢 材、合金钢材,线材
钢筋金亿91150,钢铁,钢 材、合金钢材,线材
钢筋金亿91154,钢铁,钢 材、合金钢材,线材
钢筋金亿91155,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91157,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91158,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91159,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91160,钢铁,钢 材、合金钢材,线材
大口径管件,钢铁,钢 材、合金钢材,管材及附件
钢筋金亿91156,钢铁,钢 材、合金钢材,线材
钢筋金亿91153,钢铁,钢 材、合金钢材,线材
钢筋金亿91152,钢铁,钢 材、合金钢材,线材
钢筋金亿91151,钢铁,钢 材、合金钢材,线材
钢筋长胜92704,钢铁,钢 材、合金钢材,线材
钢筋长胜89839,钢铁,钢 材、合金钢材,线材
钢筋恒利92697,钢铁,钢 材、合金钢材,线材
钢筋3钢银89838,钢铁,钢 材、合金钢材,线材
钢筋恒利92689,钢铁,钢 材、合金钢材,线材
钢筋恒利92690,钢铁,钢 材、合金钢材,线材
钢筋3钢银92691,钢铁,钢 材、合金钢材,线材
钢筋3钢银92692,钢铁,钢 材、合金钢材,线材
钢筋3钢银92693,钢铁,钢 材、合金钢材,线材
钢筋3钢银92694,钢铁,钢 材、合金钢材,线材
钢筋3钢银92695,钢铁,钢 材、合金钢材,线材
钢筋恒利92696,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91130,钢铁,钢 材、合金钢材,线材
钢筋瑞豪91131,钢铁,钢 材、合金钢材,线材
钢筋金亿91143,钢铁,钢 材、合金钢材,线材
钢筋金亿91145,钢铁,钢 材、合金钢材,线材
钢筋金亿91146,钢铁,钢 材、合金钢材,线材
钢筋3钢银89840,钢铁,钢 材、合金钢材,线材
钢筋3钢银89841,钢铁,钢 材、合金钢材,线材
钢筋6钢银99404,钢铁,钢 材、合金钢材,线材
钢筋6钢银99402,钢铁,钢 材、合金钢材,线材
钢筋6钢银99400,钢铁,钢 材、合金钢材,线材
钢筋6钢银99415,钢铁,钢 材、合金钢材,线材
钢筋恒利91165,钢铁,钢 材、合金钢材,线材
钢筋6钢银99405,钢铁,钢 材、合金钢材,线材
钢筋6钢银99406,钢铁,钢 材、合金钢材,线材
钢筋6钢银99407,钢铁,钢 材、合金钢材,线材
钢筋6钢银99411,钢铁,钢 材、合金钢材,线材
钢筋6钢银99413,钢铁,钢 材、合金钢材,线材
钢筋6钢银99416,钢铁,钢 材、合金钢材,线材
钢筋6钢银99420,钢铁,钢 材、合金钢材,线材
